ID,Name,Form,Cobblemon,Cobblemonform,Legendary
713,Avalugg,Hisuian Avalugg,avalugg,hisui,false
610,Axew, ,axew,normal,false
482,Azelf, ,azelf,normal,true
184,Azumarill, ,azumarill,normal,false
298,Azurill, ,azurill,normal,false
371,Bagon, ,bagon,normal,false
343,Baltoy, ,baltoy,normal,false
354,Banette, ,banette,normal,false
354,Banette,Mega Banette,megabanette,normal,false
689,Barbaracle, ,barbaracle,normal,false
339,Barboach, ,barboach,normal,false
847,Barraskewda, ,barraskewda,normal,false
902,Basculegion,Male,basculegion,normal,false
902,Basculegion,Female,basculegion,UNKNOWN,false
550,Basculin,Red-Striped Form,basculin,redstriped,false
550,Basculin,Blue-Striped Form,basculin,bluestriped,false
550,Basculin,White-Striped Form,basculin,galar,false
411,Bastiodon, ,bastiodon,normal,false
998,Baxcalibur, ,baxcalibur,normal,false
153,Bayleef, ,bayleef,normal,false
614,Beartic, ,beartic,normal,false
267,Beautifly, ,beautifly,normal,false
15,Beedrill, ,beedrill,normal,false
15,Beedrill,Mega Beedrill,megabeedrill,normal,false
606,Beheeyem, ,beheeyem,normal,false
374,Beldum, ,beldum,normal,false
939,Bellibolt, ,bellibolt,normal,false
182,Bellossom, ,bellossom,normal,false
69,Bellsprout, ,bellsprout,normal,false
712,Bergmite, ,bergmite,normal,false
760,Bewear, ,bewear,normal,false
400,Bibarel, ,bibarel,normal,false
399,Bidoof, ,bidoof,normal,false
688,Binacle, ,binacle,normal,false
625,Bisharp, ,bisharp,normal,false
806,Blacephalon, ,blacephalon,normal,false
9,Blastoise, ,blastoise,normal,false
9,Blastoise,Mega Blastoise,megablastoise,normal,false
257,Blaziken, ,blaziken,normal,false
257,Blaziken,Mega Blaziken,megablaziken,normal,false
824,Blipbug, ,blipbug,normal,false
242,Blissey, ,blissey,normal,false
522,Blitzle, ,blitzle,normal,false
525,Boldore, ,boldore,normal,false
836,Boltund, ,boltund,normal,false
962,Bombirdier, ,bombirdier,normal,false
438,Bonsly, ,bonsly,normal,false
626,Bouffalant, ,bouffalant,normal,false
761,Bounsweet, ,bounsweet,normal,false
654,Braixen, ,braixen,normal,false
947,Brambleghast, ,brambleghast,normal,false
946,Bramblin, ,bramblin,normal,false
628,Braviary, ,braviary,normal,false
628,Braviary,Hisuian Braviary,braviary,hisui,false
286,Breloom, ,breloom,normal,false
729,Brionne, ,brionne,normal,false
437,Bronzong, ,bronzong,normal,false
436,Bronzor, ,bronzor,normal,false
986,Brute Bonnet, ,brutebonnet,normal,false
779,Bruxish, ,bruxish,normal,false
406,Budew, ,budew,normal,false
418,Buizel, ,buizel,normal,false
1,Bulbasaur, ,bulbasaur,normal,false
427,Buneary, ,buneary,normal,false
659,Bunnelby, ,bunnelby,normal,false
412,Burmy,Plant Cloak,burmy,UNKNOWN,false
412,Burmy,Sandy Cloak,burmy,UNKNOWN,false
412,Burmy,Trash Cloak,burmy,UNKNOWN,false
12,Butterfree, ,butterfree,normal,false
794,Buzzwole, ,buzzwole,normal,false
331,Cacnea, ,cacnea,normal,false
332,Cacturne, ,cacturne,normal,false
898,Calyrex, ,calyrex,normal,true
898,Calyrex,Ice Rider,calyrex,UNKNOWN,true
898,Calyrex,Shadow Rider,calyrex,UNKNOWN,true
323,Camerupt, ,camerupt,normal,false
323,Camerupt,Mega Camerupt,megacamerupt,normal,false
951,Capsakid, ,capsakid,normal,false
703,Carbink, ,carbink,normal,false
838,Carkol, ,carkol,normal,false
455,Carnivine, ,carnivine,normal,false
565,Carracosta, ,carracosta,normal,false
318,Carvanha, ,carvanha,normal,false
268,Cascoon, ,cascoon,normal,false
351,Castform, ,castform,normal,false
351,Castform,Sunny Form,castform,UNKNOWN,false
351,Castform,Rainy Form,castform,UNKNOWN,false
351,Castform,Snowy Form,castform,UNKNOWN,false
10,Caterpie, ,caterpie,normal,false
251,Celebi, ,celebi,normal,true
797,Celesteela, ,celesteela,normal,false
851,Centiskorch, ,centiskorch,normal,false
937,Ceruledge, ,ceruledge,normal,false
975,Cetitan, ,cetitan,normal,false
974,Cetoddle, ,cetoddle,normal,false
609,Chandelure, ,chandelure,normal,false
113,Chansey, ,chansey,normal,false
935,Charcadet, ,charcadet,normal,false
6,Charizard, ,charizard,normal,false
6,Charizard,Mega Charizard X,megacharizardx,normal,false
6,Charizard,Mega Charizard Y,megacharizardy,normal,false
737,Charjabug, ,charjabug,normal,false
4,Charmander, ,charmander,normal,false
5,Charmeleon, ,charmeleon,normal,false
441,Chatot, ,chatot,normal,false
421,Cherrim, ,cherrim,normal,false
420,Cherubi, ,cherubi,normal,false
652,Chesnaught, ,chesnaught,normal,false
650,Chespin, ,chespin,normal,false
833,Chewtle, ,chewtle,normal,false
1004,Chi-Yu, ,chiyu,normal,true
1002,Chien-Pao, ,chienpao,normal,true
152,Chikorita, ,chikorita,normal,false
390,Chimchar, ,chimchar,normal,false
358,Chimecho, ,chimecho,normal,false
170,Chinchou, ,chinchou,normal,false
433,Chingling, ,chingling,normal,false
573,Cinccino, ,cinccino,normal,false
815,Cinderace, ,cinderace,normal,false
366,Clamperl, ,clamperl,normal,false
692,Clauncher, ,clauncher,normal,false
693,Clawitzer, ,clawitzer,normal,false
344,Claydol, ,claydol,normal,false
36,Clefable, ,clefable,normal,false
35,Clefairy, ,clefairy,normal,false
173,Cleffa, ,cleffa,normal,false
852,Clobbopus, ,clobbopus,normal,false
980,Clodsire, ,clodsire,normal,false
91,Cloyster, ,cloyster,normal,false
839,Coalossal, ,coalossal,normal,false
638,Cobalion, ,cobalion,normal,true
563,Cofagrigus, ,cofagrigus,normal,false
415,Combee, ,combee,normal,false
256,Combusken, ,combusken,normal,false
764,Comfey, ,comfey,normal,false
534,Conkeldurr, ,conkeldurr,normal,false
879,Copperajah, ,copperajah,normal,false
341,Corphish, ,corphish,normal,false
222,Corsola, ,corsola,normal,false
222,Corsola,Galarian Corsola,corsola,galar,false
823,Corviknight, ,corviknight,normal,false
822,Corvisquire, ,corvisquire,normal,false
790,Cosmoem, ,cosmoem,normal,false
789,Cosmog, ,cosmog,normal,true
546,Cottonee, ,cottonee,normal,false
740,Crabominable, ,crabominable,normal,false
739,Crabrawler, ,crabrawler,normal,false
346,Cradily, ,cradily,normal,false
845,Cramorant, ,cramorant,normal,false
408,Cranidos, ,cranidos,normal,false
342,Crawdaunt, ,crawdaunt,normal,false
488,Cresselia, ,cresselia,normal,true
453,Croagunk, ,croagunk,normal,false
169,Crobat, ,crobat,normal,false
910,Crocalor, ,crocalor,normal,false
159,Croconaw, ,croconaw,normal,false
558,Crustle, ,crustle,normal,false
615,Cryogonal, ,cryogonal,normal,false
613,Cubchoo, ,cubchoo,normal,false
104,Cubone, ,cubone,normal,false
878,Cufant, ,cufant,normal,false
864,Cursola, ,cursola,normal,false
742,Cutiefly, ,cutiefly,normal,false
967,Cyclizar, ,cyclizar,normal,false
155,Cyndaquil, ,cyndaquil,normal,false
927,Dachsbun, ,dachsbun,normal,false
491,Darkrai, ,darkrai,normal,true
555,Darmanitan,Standard Mode,darmanitan,normal,false
555,Darmanitan,Zen Mode,darmanitan,UNKNOWN,false
555,Darmanitan,Galarian Standard Mode,darmanitan,UNKNOWN,false
555,Darmanitan,Galarian Zen Mode,darmanitan,UNKNOWN,false
723,Dartrix, ,dartrix,normal,false
554,Darumaka, ,darumaka,normal,false
554,Darumaka,Galarian Darumaka,darumaka,galar,false
724,Decidueye, ,decidueye,normal,false
724,Decidueye,Hisuian Decidueye,decidueye,hisui,false
702,Dedenne, ,dedenne,normal,false
585,Deerling, ,deerling,normal,false
633,Deino, ,deino,normal,false
301,Delcatty, ,delcatty,normal,false
225,Delibird, ,delibird,normal,false
655,Delphox, ,delphox,normal,false
386,Deoxys,Normal Forme,deoxys,normal,true
386,Deoxys,Attack Forme,deoxys,deoxysattack,true
386,Deoxys,Defense Forme,deoxys,deoxysdefense,true
386,Deoxys,Speed Forme,deoxys,deoxysspeed,true
87,Dewgong, ,dewgong,normal,false
502,Dewott, ,dewott,normal,false
751,Dewpider, ,dewpider,normal,false
781,Dhelmise, ,dhelmise,normal,false
483,Dialga, ,dialga,normal,true
483,Dialga,Origin Forme,dialga,origin,true
719,Diancie, ,diancie,normal,true
719,Diancie,Mega Diancie,megadiancie,normal,true
660,Diggersby, ,diggersby,normal,false
50,Diglett, ,diglett,normal,false
50,Diglett,Alolan Diglett,diglett,alola,false
1011,Dipplin, ,dipplin,normal,false
132,Ditto, ,ditto,normal,false
85,Dodrio, ,dodrio,normal,false
84,Doduo, ,doduo,normal,false
929,Dolliv, ,dolliv,normal,false
977,Dondozo, ,dondozo,normal,false
232,Donphan, ,donphan,normal,false
825,Dottler, ,dottler,normal,false
680,Doublade, ,doublade,normal,false
882,Dracovish, ,dracovish,normal,false
880,Dracozolt, ,dracozolt,normal,false
691,Dragalge, ,dragalge,normal,false
887,Dragapult, ,dragapult,normal,false
148,Dragonair, ,dragonair,normal,false
149,Dragonite, ,dragonite,normal,false
886,Drakloak, ,drakloak,normal,false
780,Drampa, ,drampa,normal,false
452,Drapion, ,drapion,normal,false
147,Dratini, ,dratini,normal,false
834,Drednaw, ,drednaw,normal,false
885,Dreepy, ,dreepy,normal,false
426,Drifblim, ,drifblim,normal,false
425,Drifloon, ,drifloon,normal,false
529,Drilbur, ,drilbur,normal,false
817,Drizzile, ,drizzile,normal,false
96,Drowzee, ,drowzee,normal,false
621,Druddigon, ,druddigon,normal,false
832,Dubwool, ,dubwool,normal,false
580,Ducklett, ,ducklett,normal,false
982,Dudunsparce,Two-Segment Form,dudunsparce,normal,false
982,Dudunsparce,Three-Segment Form,dudunsparce,UNKNOWN,false
51,Dugtrio, ,dugtrio,normal,false
51,Dugtrio,Alolan Dugtrio,dugtrio,alola,false
206,Dunsparce, ,dunsparce,normal,false
578,Duosion, ,duosion,normal,false
884,Duraludon, ,duraludon,normal,false
632,Durant, ,durant,normal,false
356,Dusclops, ,dusclops,normal,false
477,Dusknoir, ,dusknoir,normal,false
355,Duskull, ,duskull,normal,false
269,Dustox, ,dustox,normal,false
557,Dwebble, ,dwebble,normal,false
603,Eelektrik, ,eelektrik,normal,false
604,Eelektross, ,eelektross,normal,false
133,Eevee, ,eevee,normal,false
133,Eevee,Partner Eevee,eevee,UNKNOWN,false
875,Eiscue,Ice Face,eiscue,normal,false
875,Eiscue,Noice Face,eiscue,UNKNOWN,false
23,Ekans, ,ekans,normal,false
830,Eldegoss, ,eldegoss,normal,false
125,Electabuzz, ,electabuzz,normal,false
466,Electivire, ,electivire,normal,false
309,Electrike, ,electrike,normal,false
101,Electrode, ,electrode,normal,false
101,Electrode,Hisuian Electrode,electrode,hisui,false
239,Elekid, ,elekid,normal,false
605,Elgyem, ,elgyem,normal,false
500,Emboar, ,emboar,normal,false
587,Emolga, ,emolga,normal,false
395,Empoleon, ,empoleon,normal,false
905,Enamorus,Incarnate Forme,enamorus,normal,true
905,Enamorus,Therian Forme,enamorus,UNKNOWN,true
244,Entei, ,entei,normal,true
589,Escavalier, ,escavalier,normal,false
956,Espathra, ,espathra,normal,false
196,Espeon, ,espeon,normal,false
677,Espurr, ,espurr,normal,false
890,Eternatus, ,eternatus,normal,true
890,Eternatus,Eternamax,eternatus,UNKNOWN,true
530,Excadrill, ,excadrill,normal,false
102,Exeggcute, ,exeggcute,normal,false
103,Exeggutor, ,exeggutor,normal,false
103,Exeggutor,Alolan Exeggutor,exeggutor,alola,false
295,Exploud, ,exploud,normal,false
870,Falinks, ,falinks,normal,false
83,Farfetch'd, ,farfetchd,normal,false
83,Farfetch'd,Galarian Farfetch'd,farfetchd,galar,false
981,Farigiraf, ,farigiraf,normal,false
22,Fearow, ,fearow,normal,false
349,Feebas, ,feebas,normal,false
653,Fennekin, ,fennekin,normal,false
160,Feraligatr, ,feraligatr,normal,false
597,Ferroseed, ,ferroseed,normal,false
598,Ferrothorn, ,ferrothorn,normal,false
1016,Fezandipiti, ,fezandipiti,normal,false
926,Fidough, ,fidough,normal,false
963,Finizen, ,finizen,normal,false
456,Finneon, ,finneon,normal,false
180,Flaaffy, ,flaaffy,normal,false
669,Flabébé, ,flabebe,normal,false
973,Flamigo, ,flamigo,normal,false
841,Flapple, ,flapple,normal,false
136,Flareon, ,flareon,normal,false
662,Fletchinder, ,fletchinder,normal,false
661,Fletchling, ,fletchling,normal,false
955,Flittle, ,flittle,normal,false
419,Floatzel, ,floatzel,normal,false
670,Floette, ,floette,normal,false
907,Floragato, ,floragato,normal,false
671,Florges, ,florges,normal,false
987,Flutter Mane, ,fluttermane,normal,false
330,Flygon, ,flygon,normal,false
753,Fomantis, ,fomantis,normal,false
590,Foongus, ,foongus,normal,false
205,Forretress, ,forretress,normal,false
611,Fraxure, ,fraxure,normal,false
996,Frigibax, ,frigibax,normal,false
592,Frillish, ,frillish,normal,false
656,Froakie, ,froakie,normal,false
657,Frogadier, ,frogadier,normal,false
478,Froslass, ,froslass,normal,false
873,Frosmoth, ,frosmoth,normal,false
909,Fuecoco, ,fuecoco,normal,false
676,Furfrou, ,furfrou,normal,false
162,Furret, ,furret,normal,false
444,Gabite, ,gabite,normal,false
475,Gallade, ,gallade,normal,false
475,Gallade,Mega Gallade,megagallade,normal,false
596,Galvantula, ,galvantula,normal,false
569,Garbodor, ,garbodor,normal,false
445,Garchomp, ,garchomp,normal,false
445,Garchomp,Mega Garchomp,megagarchomp,normal,false
282,Gardevoir, ,gardevoir,normal,false
282,Gardevoir,Mega Gardevoir,megagardevoir,normal,false
934,Garganacl, ,garganacl,normal,false
92,Gastly, ,gastly,normal,false
423,Gastrodon, ,gastrodon,normal,false
649,Genesect, ,genesect,normal,true
94,Gengar, ,gengar,normal,false
94,Gengar,Mega Gengar,megagengar,normal,false
74,Geodude, ,geodude,normal,false
74,Geodude,Alolan Geodude,geodude,alola,false
1000,Gholdengo, ,gholdengo,normal,false
443,Gible, ,gible,normal,false
526,Gigalith, ,gigalith,normal,false
999,Gimmighoul,Chest Form,gimmighoul,normal,false
999,Gimmighoul,Roaming Form,gimmighoul,roaming,false
203,Girafarig, ,girafarig,normal,false
487,Giratina,Altered Forme,giratina,UNKNOWN,true
487,Giratina,Origin Forme,giratina,normal,true
471,Glaceon, ,glaceon,normal,false
362,Glalie, ,glalie,normal,false
362,Glalie,Mega Glalie,megaglalie,normal,false
431,Glameow, ,glameow,normal,false
896,Glastrier, ,glastrier,normal,true
207,Gligar, ,gligar,normal,false
969,Glimmet, ,glimmet,normal,false
970,Glimmora, ,glimmora,normal,false
472,Gliscor, ,gliscor,normal,false
44,Gloom, ,gloom,normal,false
673,Gogoat, ,gogoat,normal,false
42,Golbat, ,golbat,normal,false
118,Goldeen, ,goldeen,normal,false
55,Golduck, ,golduck,normal,false
76,Golem, ,golem,normal,false
76,Golem,Alolan Golem,golem,alola,false
622,Golett, ,golett,normal,false
768,Golisopod, ,golisopod,normal,false
623,Golurk, ,golurk,normal,false
706,Goodra, ,goodra,normal,false
706,Goodra,Hisuian Goodra,goodra,hisui,false
704,Goomy, ,goomy,normal,false
368,Gorebyss, ,gorebyss,normal,false
829,Gossifleur, ,gossifleur,normal,false
574,Gothita, ,gothita,normal,false
576,Gothitelle, ,gothitelle,normal,false
575,Gothorita, ,gothorita,normal,false
1020,Gouging Fire, ,gougingfire,normal,false
711,Gourgeist,Average Size,gourgeist,normal,false
711,Gourgeist,Small Size,gourgeist,small,false
711,Gourgeist,Large Size,gourgeist,large,false
711,Gourgeist,Super Size,gourgeist,super,false
945,Grafaiai, ,grafaiai,normal,false
210,Granbull, ,granbull,normal,false
853,Grapploct, ,grapploct,normal,false
75,Graveler, ,graveler,normal,false
75,Graveler,Alolan Graveler,graveler,alola,false
984,Great Tusk, ,greattusk,normal,false
971,Greavard, ,greavard,normal,false
820,Greedent, ,greedent,normal,false
658,Greninja, ,greninja,normal,false
658,Greninja,Ash-Greninja,greninja2,normal,false
88,Grimer, ,grimer,normal,false
88,Grimer,Alolan Grimer,grimer,alola,false
861,Grimmsnarl, ,grimmsnarl,normal,false
810,Grookey, ,grookey,normal,false
388,Grotle, ,grotle,normal,false
383,Groudon, ,groudon,normal,true
383,Groudon,Primal Groudon,groudon,primal,true
253,Grovyle, ,grovyle,normal,false
58,Growlithe, ,growlithe,normal,false
58,Growlithe,Hisuian Growlithe,growlithe,hisui,false
736,Grubbin, ,grubbin,normal,false
326,Grumpig, ,grumpig,normal,false
316,Gulpin, ,gulpin,normal,false
735,Gumshoos, ,gumshoos,normal,false
533,Gurdurr, ,gurdurr,normal,false
799,Guzzlord, ,guzzlord,normal,false
130,Gyarados, ,gyarados,normal,false
130,Gyarados,Mega Gyarados,megagyarados,normal,false
783,Hakamo-o, ,hakamoo,normal,false
440,Happiny, ,happiny,normal,false
297,Hariyama, ,hariyama,normal,false
856,Hatenna, ,hatenna,normal,false
858,Hatterene, ,hatterene,normal,false
857,Hattrem, ,hattrem,normal,false
93,Haunter, ,haunter,normal,false
701,Hawlucha, ,hawlucha,normal,false
612,Haxorus, ,haxorus,normal,false
631,Heatmor, ,heatmor,normal,false
485,Heatran, ,heatran,normal,true
695,Heliolisk, ,heliolisk,normal,false
694,Helioptile, ,helioptile,normal,false
214,Heracross, ,heracross,normal,false
214,Heracross,Mega Heracross,megaheracross,normal,false
507,Herdier, ,herdier,normal,false
449,Hippopotas, ,hippopotas,normal,false
450,Hippowdon, ,hippowdon,normal,false
107,Hitmonchan, ,hitmonchan,normal,false
106,Hitmonlee, ,hitmonlee,normal,false
237,Hitmontop, ,hitmontop,normal,false
250,Ho-oh, ,hooh,normal,true
430,Honchkrow, ,honchkrow,normal,false
679,Honedge, ,honedge,normal,false
720,Hoopa,Hoopa Confined,hoopa,normal,true
720,Hoopa,Hoopa Unbound,hoopa,unbound,true
163,Hoothoot, ,hoothoot,normal,false
187,Hoppip, ,hoppip,normal,false
116,Horsea, ,horsea,normal,false
229,Houndoom, ,houndoom,normal,false
229,Houndoom,Mega Houndoom,megahoundoom,normal,false
228,Houndour, ,houndour,normal,false
972,Houndstone, ,houndstone,normal,false
367,Huntail, ,huntail,normal,false
1019,Hydrapple, ,hydrapple,normal,false
635,Hydreigon, ,hydreigon,normal,false
97,Hypno, ,hypno,normal,false
174,Igglybuff, ,igglybuff,normal,false
314,Illumise, ,illumise,normal,false
859,Impidimp, ,impidimp,normal,false
727,Incineroar, ,incineroar,normal,false
876,Indeedee,Male,indeedee,normal,false
876,Indeedee,Female,indeedee,UNKNOWN,false
392,Infernape, ,infernape,normal,false
686,Inkay, ,inkay,normal,false
818,Inteleon, ,inteleon,normal,false
1022,Iron Boulder, ,ironboulder,normal,false
991,Iron Bundle, ,ironbundle,normal,false
1023,Iron Crown, ,ironcrown,normal,false
992,Iron Hands, ,ironhands,normal,false
993,Iron Jugulis, ,ironjugulis,normal,false
1010,Iron Leaves, ,ironleaves,normal,false
994,Iron Moth, ,ironmoth,normal,false
995,Iron Thorns, ,ironthorns,normal,false
990,Iron Treads, ,irontreads,normal,false
1006,Iron Valiant, ,ironvaliant,normal,false
2,Ivysaur, ,ivysaur,normal,false
782,Jangmo-o, ,jangmoo,normal,false
593,Jellicent, ,jellicent,normal,false
39,Jigglypuff, ,jigglypuff,normal,false
385,Jirachi, ,jirachi,normal,true
135,Jolteon, ,jolteon,normal,false
595,Joltik, ,joltik,normal,false
189,Jumpluff, ,jumpluff,normal,false
124,Jynx, ,jynx,normal,false
140,Kabuto, ,kabuto,normal,false
141,Kabutops, ,kabutops,normal,false
64,Kadabra, ,kadabra,normal,false
14,Kakuna, ,kakuna,normal,false
115,Kangaskhan, ,kangaskhan,normal,false
115,Kangaskhan,Mega Kangaskhan,megakangaskhan,normal,false
588,Karrablast, ,karrablast,normal,false
798,Kartana, ,kartana,normal,false
352,Kecleon, ,kecleon,normal,false
647,Keldeo,Ordinary Form,keldeo,UNKNOWN,true
647,Keldeo,Resolute Form,keldeo,UNKNOWN,true
941,Kilowattrel, ,kilowattrel,normal,false
983,Kingambit, ,kingambit,normal,false
230,Kingdra, ,kingdra,normal,false
99,Kingler, ,kingler,normal,false
281,Kirlia, ,kirlia,normal,false
600,Klang, ,klang,normal,false
950,Klawf, ,klawf,normal,false
900,Kleavor, ,kleavor,normal,false
707,Klefki, ,klefki,normal,false
599,Klink, ,klink,normal,false
601,Klinklang, ,klinklang,normal,false
109,Koffing, ,koffing,normal,false
775,Komala, ,komala,normal,false
784,Kommo-o, ,kommoo,normal,false
1007,Koraidon, ,koraidon,normal,true
98,Krabby, ,krabby,normal,false
401,Kricketot, ,kricketot,normal,false
402,Kricketune, ,kricketune,normal,false
552,Krokorok, ,krokorok,normal,false
553,Krookodile, ,krookodile,normal,false
891,Kubfu, ,kubfu,normal,true
382,Kyogre, ,kyogre,normal,true
382,Kyogre,Primal Kyogre,kyogre,primal,true
646,Kyurem, ,kyurem,normal,true
646,Kyurem,White Kyurem,kyurem,white,true
646,Kyurem,Black Kyurem,kyurem,black,true
305,Lairon, ,lairon,normal,false
608,Lampent, ,lampent,normal,false
645,Landorus,Incarnate Forme,landorus,normal,true
645,Landorus,Therian Forme,landorus,UNKNOWN,true
171,Lanturn, ,lanturn,normal,false
131,Lapras, ,lapras,normal,false
636,Larvesta, ,larvesta,normal,false
246,Larvitar, ,larvitar,normal,false
380,Latias, ,latias,normal,true
380,Latias,Mega Latias,megalatias,normal,true
381,Latios, ,latios,normal,true
381,Latios,Mega Latios,megalatios,normal,true
470,Leafeon, ,leafeon,normal,false
542,Leavanny, ,leavanny,normal,false
915,Lechonk, ,lechonk,normal,false
166,Ledian, ,ledian,normal,false
165,Ledyba, ,ledyba,normal,false
463,Lickilicky, ,lickilicky,normal,false
108,Lickitung, ,lickitung,normal,false
510,Liepard, ,liepard,normal,false
345,Lileep, ,lileep,normal,false
549,Lilligant, ,lilligant,normal,false
549,Lilligant,Hisuian Lilligant,lilligant,hisui,false
506,Lillipup, ,lillipup,normal,false
264,Linoone, ,linoone,normal,false
264,Linoone,Galarian Linoone,linoone,galar,false
667,Litleo, ,litleo,normal,false
725,Litten, ,litten,normal,false
607,Litwick, ,litwick,normal,false
920,Lokix, ,lokix,normal,false
271,Lombre, ,lombre,normal,false
428,Lopunny, ,lopunny,normal,false
428,Lopunny,Mega Lopunny,megalopunny,normal,false
270,Lotad, ,lotad,normal,false
294,Loudred, ,loudred,normal,false
448,Lucario, ,lucario,normal,false
448,Lucario,Mega Lucario,megalucario,normal,false
272,Ludicolo, ,ludicolo,normal,false
249,Lugia, ,lugia,normal,true
457,Lumineon, ,lumineon,normal,false
792,Lunala, ,lunala,normal,true
337,Lunatone, ,lunatone,normal,false
754,Lurantis, ,lurantis,normal,false
370,Luvdisc, ,luvdisc,normal,false
404,Luxio, ,luxio,normal,false
405,Luxray, ,luxray,normal,false
745,Lycanroc,Midday Form,lycanroc,normal,false
745,Lycanroc,Midnight Form,lycanroc,midnight,false
745,Lycanroc,Dusk Form,lycanroc,dusk,false
943,Mabosstiff, ,mabosstiff,normal,false
68,Machamp, ,machamp,normal,false
67,Machoke, ,machoke,normal,false
66,Machop, ,machop,normal,false
240,Magby, ,magby,normal,false
219,Magcargo, ,magcargo,normal,false
801,Magearna, ,magearna,normal,true
129,Magikarp, ,magikarp,normal,false
126,Magmar, ,magmar,normal,false
467,Magmortar, ,magmortar,normal,false
81,Magnemite, ,magnemite,normal,false
82,Magneton, ,magneton,normal,false
462,Magnezone, ,magnezone,normal,false
296,Makuhita, ,makuhita,normal,false
687,Malamar, ,malamar,normal,false
473,Mamoswine, ,mamoswine,normal,false
490,Manaphy, ,manaphy,normal,true
630,Mandibuzz, ,mandibuzz,normal,false
310,Manectric, ,manectric,normal,false
310,Manectric,Mega Manectric,megamanectric,normal,false
56,Mankey, ,mankey,normal,false
226,Mantine, ,mantine,normal,false
458,Mantyke, ,mantyke,normal,false
556,Maractus, ,maractus,normal,false
747,Mareanie, ,mareanie,normal,false
179,Mareep, ,mareep,normal,false
183,Marill, ,marill,normal,false
105,Marowak, ,marowak,normal,false
105,Marowak,Alolan Marowak,marowak,alola,false
802,Marshadow, ,marshadow,normal,true
259,Marshtomp, ,marshtomp,normal,false
942,Maschiff, ,maschiff,normal,false
284,Masquerain, ,masquerain,normal,false
925,Maushold,Family of Four,maushold,four,false
925,Maushold,Family of Three,maushold,normal,false
303,Mawile, ,mawile,normal,false
303,Mawile,Mega Mawile,megamawile,normal,false
308,Medicham, ,medicham,normal,false
308,Medicham,Mega Medicham,megamedicham,normal,false
307,Meditite, ,meditite,normal,false
154,Meganium, ,meganium,normal,false
809,Melmetal, ,melmetal,normal,true
648,Meloetta,Aria Forme,meloetta,normal,true
648,Meloetta,Pirouette Forme,meloetta,UNKNOWN,true
808,Meltan, ,meltan,normal,true
908,Meowscarada, ,meowscarada,normal,false
678,Meowstic,Male,meowstic,normal,false
678,Meowstic,Female,meowstic,UNKNOWN,false
52,Meowth, ,meowth,normal,false
52,Meowth,Alolan Meowth,meowth,alola,false
52,Meowth,Galarian Meowth,meowth,galar,false
481,Mesprit, ,mesprit,normal,true
376,Metagross, ,metagross,normal,false
376,Metagross,Mega Metagross,megametagross,normal,false
375,Metang, ,metang,normal,false
11,Metapod, ,metapod,normal,false
151,Mew, ,mew,normal,true
150,Mewtwo, ,mewtwo,normal,true
150,Mewtwo,Mega Mewtwo X,megamewtwox,normal,true
150,Mewtwo,Mega Mewtwo Y,megamewtwoy,normal,true
619,Mienfoo, ,mienfoo,normal,false
620,Mienshao, ,mienshao,normal,false
